id,order_id,distributor_id,total_amount,order_date,status,user_id,created_at
21,AUD-1749534353726,112049,2008.2,10/06/25 7:45,completed,8864924023,10/06/25 5:45
22,AUD-1749535932787,112049,2008.2,10/06/25 8:12,completed,8864924023,10/06/25 6:12
23,AUD-1749538538338,112049,97,10/06/25 8:55,completed,8864924023,10/06/25 6:55
24,AUD-1750847880821,754232,180,25/06/25 12:41,completed,6072,25/06/25 10:41
25,AUD-1750854112156,736470,4440,25/06/25 14:21,completed,6072,25/06/25 12:21
26,AUD-1750854301240,794342,475,25/06/25 14:25,completed,6072,25/06/25 12:25
27,AUD-1750854348971,754232,740,25/06/25 14:25,completed,6072,25/06/25 12:25
28,AUD-1750854721268,736470,1155,25/06/25 14:32,completed,6072,25/06/25 12:32
29,AUD-1750855151527,782136,7400,25/06/25 14:39,completed,6072,25/06/25 12:39
30,AUD-1750927691454,781183,3120,26/06/25 10:48,completed,7876,26/06/25 8:48